id,id_categoria,id_estado,id_depto,id_custodio,id_proveedor,nombre,marca,modelo,serial,familia,subfam,ubicacion,area,fecha_ingreso,costo_adquis,valor_actual,descripcion,observaciones,foto_url,factura_url,borrado,fecha_baja,fecha_crea,fecha_act,id_seccion,id_familia,id_subfamilia
ACT-1805,CAT-0002,1,ORG-0013,null,PROV-001,Abre Latas,Press,,0,null,null,Area De Servicios,,5/6/2026,0,0, , ,https://vwwriqkjcramhhkyrarz.supabase.co/storage/v1/object/public/assets/photos/1779066427576-np1vs5pptd.png,https://vwwriqkjcramhhkyrarz.supabase.co/storage/v1/object/public/assets/invoices/1779066428569-f7qgub0d0a.pdf,false,null,2026-05-06 15:47:20.5+00,2026-05-18 01:07:08.872581+00,CAT-0027,CAT-905700,CAT-055187
ACT-001,CAT-0014,1,ORG-0028,null,PROV-003,Nombre Del Activo,Sansung,,SERIAL Y MODELO,null,null,Lobby,,5/6/2026,100,100,Descripcion del Activo,Custodio Obs,null,null,false,null,2026-05-06 14:48:27.963+00,2026-05-06 15:36:42.2+00,null,null,null
ACT-002,CAT-0015,2,ORG-0001,null,PROV-001,Cafetera + Taza,Premium,PCM512B,NO POSEE,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.42+00,2026-05-06 15:37:52.42+00,CAT-0056,null,null
ACT-003,CAT-0023,1,ORG-0001,null,PROV-001,Lavaplatos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.5+00,2026-05-06 15:37:52.5+00,null,null,null
ACT-004,CAT-0019,1,ORG-0001,null,PROV-001,Llave Lavaplatos,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.56+00,2026-05-06 15:37:52.56+00,CAT-0071,null,null
ACT-005,CAT-0002,1,ORG-0001,null,PROV-001,Filtro De Desague,,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.62+00,2026-05-06 15:37:52.62+00,CAT-0027,null,null
ACT-006,CAT-0002,1,ORG-0001,null,PROV-001,Papelera Blanca,Manaplas,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.68+00,2026-05-06 15:37:52.68+00,CAT-0027,null,null
ACT-007,CAT-0025,1,ORG-0001,null,PROV-001,Cuchillo De Mesa,Walco,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.74+00,2026-05-06 15:37:52.74+00,null,null,null
ACT-008,CAT-0025,1,ORG-0001,null,PROV-001,Cuchara Sopera,Walco,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.797+00,2026-05-06 15:37:52.797+00,null,null,null
ACT-009,CAT-0025,1,ORG-0001,null,PROV-001,Cuchara Postre,Walco,,,null,null, , ,5/6/2026,0,0, , ,null,null,false,null,2026-05-06 15:37:52.85+00,2026-05-06 15:37:52.85+00,null,null,null
